Q,A,label
길이 안보여,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
어디야,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
토끼가 사라졌어,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
사라짐,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
사라졌어,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
길을 잃었어,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
길을 잃어버렸어,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
어디로 가야해?,"곧 길이 보일거야, 너는 삶에서 뭘 가장 중요하게 생각하니?.",0
성공을 가장 중요하게 생각해,그게 진짜 네가 살아가는 이유야?.,0
돈이지 않을까?,그게 진짜 네가 살아가는 이유야?.,0
돈이 제일 중요해,그게 진짜 네가 살아가는 이유야?.,0
돈이 가장 중요해,그게 진짜 네가 살아가는 이유야?.,0
돈을 많이 벌고 싶어,그게 진짜 네가 살아가는 이유야?.,0
돈이 중요해,그게 진짜 네가 살아가는 이유야?.,0
성공,그게 진짜 네가 살아가는 이유야?.,0
돈,그게 진짜 네가 살아가는 이유야?.,0
그건 별로 상관없어,"그럼 아무길로 가도 되겠네, 너는 뭘 중요하게 생각하니?.",0
그건 별로 상관없는데,"그럼 아무길로 가도 되겠네, 너는 뭘 중요하게 생각하니?.",0
가족이 가장 중요해,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
가족이 중요해,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
가족을 가장 중요하게 생각해,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
아빠,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
엄마,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
가족,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
나는 가족을 위해 살아,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
나는 엄마를 위해 살아,"그렇군, 가족은 네가 소중하게 생각해줘서 정말 행복하겠다! 그런데 너는 어디 있어?.",0
친구가 중요해,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
친구,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
우리집 고양이,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
우리 집 새,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
친구가 가장 중요해,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
강아지,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
고양이,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
내가 키우는 강아지,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
내가 키우는 고양이,"그렇군, 그 친구는 네가 소중하게 생각해줘서 정말 행복하겠다. 그런데 너의 삶의 주체가 그 사람이어도 너는 진짜 괜찮니? 너는 어디 있어?",0
